ID,Question,Options,Correct_Answers,Images,Answer_Link
98,"""The increasing interest in tribal characters might be a mere coincidence, but the timing is of interest. None of this, though, is to say that the tribal hero has arrived in Hindi cinema, or that the new crop of characters represents the acceptance of the tribal character in the industry. The films and characters are too few to be described as a pattern."" What does the word 'arrived' mean in the paragraph above?",A: reached a terminus | B: came to a conclusion | C: attained a status | D: went to a place,['C'],,
99,"In a sports academy of 300 peoples, 105 play only cricket, 70 play only hockey, 50 play only football, 25 play both cricket and hockey, 15 play both hockey and football and 30 play both cricket and football. The rest of them play all three sports. What is the percentage of people who play at least two sports?",A: 23.3 | B: 25 | C: 28 | D: 50,['B'],,
100,"The new cotton technology, Bollgard-II, with herbicide-tolerant traits has developed into a thriving business in India. However, the commercial use of this technology is not legal in India. Notwithstanding that, reports indicate that the herbicide tolerant Bt cotton had been purchased by farmers at an average of Rs 200 more than the control price of ordinary cotton, and planted in  15% of the cotton growing area in the 2017 Kharif season. Which one of the following statements can be inferred from the given passage?",A: Farmers want to access the new technology if India benefits from it | B: Farmers want to access the new technology even if it is not legal | C: Farmers want to access the new technology for experimental purposes | D: Farmers want to access the new technology by paying high price,['B'],,
101,The CEO's decision to quit was as shocking to the Board as it was to ______.,A: I | B: me | C: my | D: myself,['B'],,
102,"If E=10,J=20,O=30, and T=40, what will be P+E+S+T?",A: 51 | B: 82 | C: 120 | D: 164,['C'],,
103,"On a horizontal ground, the base of a straight ladder is 6 m away from the base of a vertical pole. The ladder makes an angle of 45 to the horizontal. If the ladder is resting at a point located at one-fifth of the height of the pole from the bottom, the height of the pole is ______ meters.",A: 15 | B: 25 | C: 30 | D: 35,['C'],,
104,They have come a long way in ________ trust among the users.,A: creating | B: created | C: creation | D: create,['A'],,
105,"The lecture was attended by quite _______ students, so the hall was not very _______","A: a few, quite | B: few, quiet | C: a few, quiet | D: few, quite",['C'],,
106,"Each of the letters in the figure below represents a unique integer from 1 to 9. The letters are positioned in the figure such that each of (A+B+C), (C+D+E), (E+F+G) and (G+H+K) is equal to 13. Which integer does E represent?",A: 1 | B: 4 | C: 6 | D: 7,['B'],,
107,"Given that $\dfrac{\log P}{y-z} = \dfrac{\log Q}{z-x} = \dfrac{\log R}{x-y} = 10$ for $x \neq y \neq z$ , what is the value of the product PQR?",A: 0 | B: 1 | C: $xyz$ | D: $10^{xyz}$,['B'],,
108,"The annual average rainfall in a tropical city is 1000 mm. On a particular rainy day (24-hour period), the cumulative rainfall experienced by the city is shown in the graph. Over the 24-hour period, 50% of the rainfall falling on a rooftop, which had an obstruction-free area of 50 $m^2$ , was harvested into a tank. What is the total volume of water collected in the tank litters?",A: 25000 | B: 18750 | C: 7500 | D: 3.125,['C'],https://practicepaper.in/wp-content/uploads/GATE/CE/20182/q63.jpg,
109,A faulty wall clock is known to gain 15 minutes every 24 hours. It is synchronized to the correct time at 9 AM on 11th July. What will be the correct time to the nearest minute when the clock shows 2 PM on 15th July of the same year?,A: 12:45 PM | B: 12:58 PM | C: 1:00 PM | D: 2:00 PM,['B'],,
110,"In manufacturing industries, loss is usually taken to be proportional to the square of the deviation from a target. If the loss is Rs. 4900 for a deviation of 7 units, what would be the loss in Rupees for a deviation of 4 units from the target?",A: 400 | B: 1200 | C: 1600 | D: 2800,['C'],,
111,"An object is said to have an n-fold rotational symmetry if the object, rotated by an angle of $\frac{2\pi}{n}$ , is identical to the original. Which one of the following objects exhibits 4-fold rotational symmetry about an axis perpendicular to the plane of the screen? Note: The figures shown are representative.",A: A | B: B | C: C | D: D,['B'],https://practicepaper.in/wp-content/uploads/GATE/CE/20251/q65.webp,
112,"A circle with center at $(x, y)=(0.5,0)$ and radius $=0.5$ intersects with another circle with center at $(x, y)=(1,1)$ and radius $=1$ at two points. One of the points of intersection $(x, y)$ is:","A: $(0,0)$ | B: $(0.2,0.4)$ | C: $(0.5,0.5)$ | D: $(1,2)$",['B'],,
113,"A color model is shown in the figure with color codes: Yellow (Y), Magenta (M), Cyan (Cy), Red (R), Blue (BI), Green (G), and Black (K). Which one of the following options displays the color codes that are consistent with the color model?",A: A | B: B | C: C | D: D,['A'],"https://practicepaper.in/wp-content/uploads/GATE/CE/20251/q63a.webp, https://practicepaper.in/wp-content/uploads/GATE/CE/20251/q63b.webp",
114,"Rohit goes to a restaurant for lunch at about 1 PM. When he enters the restaurant, he notices that the hour and minute hands on the wall clock are exactly coinciding. After about an hour, when he leaves the restaurant, he notices that the clock hands are again exactly coinciding. How much time (in minutes) did Rohit spend at the restaurant?",A: $64 \frac{6}{11}$ | B: $66 \frac{5}{13}$ | C: $65 \frac{5}{11}$ | D: $66 \frac{6}{13}$,['C'],,
115,"""Why do they pull down and do away with crooked streets, I wonder, which are my delight, and hurt no man living? Every day the wealthier nations are pulling down one or another in their capitals and their great towns: they do not know why they do it; neither do I. It ought to be enough, surely, to drive the great broad ways which commerce needs and which are the life-channels of a modern city, without destroying all history and all the humanity in between: the islands of the past."" (From Hilaire Belloc's ""The Crooked Streets"") Based only on the information provided in the above passage, which one of the following statements is true?","A: The author of the passage takes delight in wondering. | B: The wealthier nations are pulling down the crooked streets in their capitals. | C: In the past, crooked streets were only built on islands. | D: Great broad ways are needed to protect commerce and history.",['B'],,
116,"For non-negative integers, a,b,c, what would be the value of $a+b+c$ ,  if $\log a + \log b + \log c = 0$ ?",A: 3 | B: 1 | C: 0 | D: -1,['A'],,
117,A three-member committee has to be formed  from a group of 9 people. How many such distinct committees can be formed?,A: 27 | B: 72 | C: 81 | D: 84,['D'],,
118,"$\underbrace{a+a+a+ \dots +a}_{\text{n times}}=a^2b$ and $\underbrace{b+b+b+ \dots +b}_{\text{m times}} = ab^2$ , where $a,b,n,m$ are natural numbers. What is the value of $\Bigg( \underbrace{m+m+m+ \dots +m}_{\text{n times}} \Bigg) \Bigg( \underbrace{n+ n+ n+ \dots + n}_{\text{m times}} \Bigg)?$",A: $2a^{2}b^{2}$ | B: $a^{4}b^{4}$ | C: $ab(a+b)$ | D: $a^{2}+b^{2}$,['B'],,
119,"""Although it does contain some pioneering ideas, one would hardly characterize the work as _____.""",A: innovative | B: simple | C: dull | D: boring,['A'],,
120,"""His face ____  with joy when the solution of the puzzle was ___ to him."" The words that best fill the blanks in the above sentence are","A: shone, shown | B: shone, shone | C: shown, shone | D: shown, shown",['A'],,
121,"Each of the letters arranged as below represents a unique integer from 1 to 9. The letters are positioned in the figure such that (AxBxC), (BxGxE) and (DxExF) are equal. Which integer among the following choices cannot be represented by the letters A, B, C, D, E, F or G? $\begin{array}{|l|l|l|}\hline \text{A}  &  \text{} & \text{D} \\\hline \text{B} & \text{G}& \text{E}\\\hline \text{C} & \text{} & \text{F}\\\hline  \end{array}$",A: 4 | B: 5 | C: 6 | D: 9,['B'],,
122,"Consider a sequence of numbers $a_1,a_2,a_3, . . . ,a_n$ where $a_n=\frac{1}{n}-\frac{1}{n}+2$ , for each integer $n \gt 0$ . Whart is the sum of the first 50 terms?",A: $\bigg( 1+ \frac{1}{2} \bigg) - \frac{1}{50} \\$ | B: $\bigg( 1+ \frac{1}{2} \bigg) + \frac{1}{50} \\$ | C: $\bigg( 1+ \dfrac{1}{2} \bigg) - \bigg( \dfrac{1}{51} + \dfrac{1}{52} \bigg) \\$ | D: $1 - \bigg( \dfrac{1}{51} + \dfrac{1}{52} \bigg)$,['C'],,
123,Which of the following function(s) is an accurate description of the graph for the range(s) indicated? i. $y=2x+4 \text{ for } -3 \leq x \leq -1$ ii. $y= \mid x-1 \mid \text{ for } -1 \leq x \leq 2$ iii. $y= \mid\mid x \mid -1 \mid \text{ for } -1 \leq x \leq 2$ iv. $y=1 \text{ for } 2 \leq x \leq 3$,"A: i, ii and iii only | B: i, ii and iv only | C: i and iv only | D: ii and iv only",['B'],https://practicepaper.in/wp-content/uploads/GATE/CE/20191/q63.jpg,
124,The price of a wire made of a super alloy material is proportional to the square of its length. The price of 10m length of the wire is Rs. 1600. What would be the total price (in Rs.) of two wires of length 4m and 6m ?,A: 768 | B: 832 | C: 1440 | D: 1600,['B'],,
125,"A fruit seller sold a basket of fruits at 12.5% loss. Had he sold it for Rs. 108 more, he would have made a 10% gain. What is the loss in Rupees incurred by the fruit seller?",A: 48 | B: 52 | C: 60 | D: 108,['C'],,
126,"The temperature $T$ in a room varies as a function of the outside temperature $T_0$ and the number of persons in the room $p$ , according to the relation $T=K(\theta p +T_0)$ , where $\theta$ and $K$ are constants. What would be the value of $\theta$ given the following data? $\begin{array}{|l|l|l|}\hline \text{$T_{0}$} & \text{p} & \text{T} \\\hline \text{25} & \text{2}& \text{32.4} \\\hline \text{30} & \text{5} & \text{42.0}\\\hline \end{array}$",A: 0.8 | B: 1 | C: 2 | D: 10,['B'],,
127,"Tower A is 90 m tall and tower B is 140 m tall. They are 100 m apart. A horizontal skywalk connects the floors at 70 m in both the towers. If a taut rope connects the top of tower A to the bottom tower B, at what distance (in meters) from tower A will the rope intersect the skywalk?",A: 22.22 | B: 50 | C: 57.87 | D: 77.78,[],,
128,"Hema's age is 5 years more than twice Hari's age. Suresh's age is 13 years less than Hari's age. If Suresh is 3 times as old as Hema, then how old is Hema?",A: 14 | B: 17 | C: 18 | D: 19,['D'],,
129,"""It is no surprise that every society has had codes of behavior; however, the nature of these codes is often _____."" The word that best fills the blank in the above sentence is",A: unpredictable | B: simple | C: expected | D: strict,['A'],,
130,"""The driver applied the ____ as soon as she approached the hotel where she wanted to take a ____""","A: brake, break | B: break, brake | C: brake, brake | D: break, break",['A'],,
131,"The points in the graph below represent the halts of a lift for a durations of 1 minute, over a period of 1 hour. Which of the following statements are correct? i. The elevator moves directly from any non-ground floor to another non-ground floor over the an hour period. ii. The elevator stays on the fourth floor for the longest duration over the one hour period.",A: Only i | B: Only ii | C: Both i and ii | D: Neither i nor ii,['D'],https://practicepaper.in/wp-content/uploads/GATE/CE/20172/q65.jpg,
132,Budhan covers a distance of 19 km in 2 hours by cycling one fourth of the time and walking the rest. The next day he cycles (at the same speed as before) for half the time and walks the rest (at the same speed as before) and covers 26 km in 2 hours. The speed in km\h at which Budhan walk is,A: 1 | B: 4 | C: 5 | D: 6,['D'],,
133,"P, Q, R, S, T , and U are seated around a circular table R is seated two places to the right of Q. P is seated three places to the left of R. S is seated opposite U. If P and U now switch seats, which of the following must necessarily be true?",A: P is immediately to the right of R | B: T is immediately to the left of P | C: T is immediately to the left of P or P is immediately to the right of Q | D: U is immediately to the right of R or P is immediately to the left of T,['C'],,
134,"A map shows the elevations of Darjeeling, Gangtok, Kalimpong, Pelling, and Siliguri. Kalimpong is at a lower elevation than Gangtok,  Pelling is at a lower elevation than Gantok. Pelling is at a higher elevation than Siliguri. Darjeeling is at a higher elevation than Gangtok. Which of the following statement can be inferred from the paragraph above? i. Pelling is at a higher elevation than Kalimpong ii. Kalimpong is at a lower elevation than Darjeeling iii.  Kalimpong is at a higher elevation than Siliguri iv.  Siliguri is at a lower elevation than Gangtok",A: Only ii | B: Only ii and iii | C: Only ii and iv | D: Only iii and iv,['C'],,
135,"Bhaichung was observing the pattern of people entering and leaving a car service centre. There was a single window where customers were being served. He saw that people inevitably came out of the centre in the order that they went in. However, the time they spent inside seemed to vary a lot: some people came out in a matter of minutes while for others it took much longer. From this, what can conclude?","A: The centre operators on a first-come-first-served basis, but with variable service times, depending on specific customer needs. | B: Customers were served in an arbitrary order, since they took varying amounts of time for service completion in the centre. | C: Since some people came out within a few minutes of entering the centre, the system is likely to operate on a last-come-first-served basis. | D: Entering the centre early ensured that one would have shorter service times and most people attempted to do this.",['A'],,
136,Two dice are thrown simultaneously. The probability that the product of the numbers appearing on the top faces of the dice is a perfect square is,A: $\frac{1}{9}$ | B: $\frac{2}{9}$ | C: $\frac{1}{3}$ | D: $\frac{4}{9}$,['B'],,
137,What is the value of $x$ when $81\times\left (\dfrac{16}{25} \right )^{x+2}\div\left (\dfrac{3}{5} \right )^{2x+4}=144?$,A: 1 | B: -1 | C: -2 | D: Can not be determined,['B'],,
138,"Four cards lie on table. Each card has a number printed on one side and a colour on the other. The faces visible on the cards are 2, 3, red, and blue. Proposition: If a card has an even value on one side, then its opposite face is red. The card which MUST be turned over to verify the above proposition are","A: 2, red | B: 2,3, red | C: 2, blue | D: 2, red,blue",['C'],,
139,There was no doubt that their work was thorough. Which of the words below is closest in meaning to the underlined word above?,A: pretty | B: complete | C: sloppy | D: haphazard,['B'],,
140,The event would have been successful if you____________able to come.,A: are | B: had been | C: have been | D: would have been,['B'],,
141,"The bar graph below shows the output of five carpenters over one month, each of whom made different items of furniture: chairs, tables, and beds. Consider the following statements. i. The number of beds made by carpenter C2 is exactly the same as the number of tables made by carpenter C3. ii. The total number of chairs made by all carpenters is less than the total number of tables. Which one of the following is true?",A: Only i | B: Only ii | C: Both i and ii | D: Neither i nor ii,['C'],https://practicepaper.in/wp-content/uploads/GATE/CE/20171/q65.jpg,
142,"Two machines M1 and M2  are able to execute any of four jobs P, Q, R and S. The machines can perform one job on one object at a time. Jobs P, Q, R and S take 30 minutes, 20 minutes, 60 minutes and 15 minutes each respectively. There are 10 objects each requiring exactly 1 job. Job P is to be performed on 2 objects. Job Q on 3 objects, Job R on 1 object and Job S on 4 objects. What is the minimum time needed to complete all the jobs?",A: 2 hours | B: 2.5 hours | C: 3 hours | D: 3.5 hours,['A'],,
143,The last digit of $(2171)^{7}+(2172)^{9}+(2173)^{11}+(2174)^{13}$ is,A: 2 | B: 4 | C: 6 | D: 8,['B'],,
144,"Students applying for hostel rooms are allotted rooms in order of seniority. Students already staying in a room will move if they get a room in their preferred list. Preferences of lower ranked applicants are ignored during allocation. Given the data below, which room will Ajit stay in ? $\begin{array}{|l|l|l|l|}\hline \textbf{Names} & \textbf{Student seniority} & \textbf{Current room} & \textbf{Room preference list} \\\hline \text{Amar} & \text{1}& \text{P} & \text{R,S,Q}\\\hline \text{Akbar} & \text{2}& \text{None} & \text{R,S}\\\hline \text{Anthony} & \text{3}& \text{Q} & \text{P}\\\hline \text{Ajit} & \text{4}& \text{S} & \text{Q,P,R}\\\hline \end{array}$",A: P | B: Q | C: R | D: S,['B'],,
145,"The old concert hall was demolished because of fears that the foundation would be affected by the construction of the new metro line in the area. Modern technology for underground metro construction tried to mitigate the impact of pressurized air pockets created by the excavation of large amounts of soil. But even with these safeguards, it was feared the soil below the concert hall would not be stable. From this, one can infer that","A: the foundations of old buildings create pressurized air pockets underground, which are difficult to handle during metro construction. | B: metro construction has to be done carefully considering its impact on the foundations of existing buildings. | C: old buildings in an area from an impossible hurdle to metro construction in that area. | D: pressurized air can be used to excavate large amounts of soil from underground areas.",['B'],,
146,"The following sequence of numbers is arranged in increasing order: 1, x, x, x, y, y, 9, 16, 18. Given that the mean and median are equal, and are also equal to twice the mode, the value of y is",A: 5 | B: 6 | C: 7 | D: 8,['D'],,
147,"If the radius of a right circular cone is increased by 50%, its volume increases by",A: 0.75 | B: 1 | C: 1.25 | D: 2.375,['C'],,
148,"Consider the following sentences: All benches are beds. No bed is a bulb. Some bulbs are lamps. Which of the following can be inferred? i.  Some beds are lamps.
Ii. Some lamps are beds.",A: Only i | B: Only ii | C: Both i and ii | D: Neither i nor ii,['D'],,
149,_______with someone else's email account is now a very serious offence.,A: Involving | B: Assisting | C: Tampering | D: Incubating,['C'],,
150,The bacteria in milk are destroyed when it __________ heated to 80 degree Celsius.,A: would be | B: will be | C: is | D: was,['C'],,
151,"Ananth takes 6 hours and Bharath takes 4 hours to read a book. Both started reading copies of the book at the same time. After how many hours is the number of pages to be read by Ananth, twice that to be read by Bharath? Assume Ananth and Bharath read all the pages with constant pace.",A: 1 | B: 2 | C: 3 | D: 4,['C'],,
152,"A square pyramid has a base perimeter $x$ , and the slant height is half of the perimeter. What is the lateral surface area of the pyramid?",A: $x^2$ | B: $0.75x^2$ | C: $0.50x^2$ | D: $0.25x^2$,['D'],,
153,"Fact 1: Humans are mammals. Fact 2: Some humans are engineers. Fact 3: Engineers build houses. If the above statement are facts, which of the following can be logically inferred? I. All mammals build houses. II.  Engineers are mammals. III. Some humans are not engineers.","A: II only. | B: III only. | C: I, II and III. | D: I only",['B'],,
154,"Today, we consider Ashoka as a great ruler because of the copious evidence he left behind in the form of stone carved edicts. Historians tend to correlate greatness of a king at his time with the availability of evidence today. Which of the following can be logically inferred from the sentence?","A: Emperors who do not leave significant sculpted evidence are completely forgotten. | B: Ashoka produced stone carved edicts to ensure that later historians will respect him. | C: Statues of kings are a reminder of their greatness. | D: A king's greatness, as wee know him today, is interpreted by historians.",['D'],,
155,"Two finance companies, P and Q, declared fixed annual rates of interest on the amounts invested with them. The rates of interest offered by these companies may differ from year to year. Year-wise annual rates offered by these companies are shown by the line graph provided below. If the amounts invested in the companies, P and Q, in 2006 are in the ratio 8:9, then the amounts received after one year as interests from companies P and Q would be in the ratio:",A: 02:03 | B: 03:04 | C: 06:07 | D: 04:03,['D'],https://practicepaper.in/wp-content/uploads/GATE/CE/20162/q61.jpg,
156,"The sum of the digits of a two digit number is 12. If the new number formed by reversing the digits is greater than the original number by 54, find the original number.",A: 39 | B: 57 | C: 66 | D: 93,"['A', 'D']",,
157,$(x\% \text{ of }y)+ (y\% \text{ of }x)$ is equivalent to ______ .,A: $2\% \text{ of } xy$ | B: $2\% \text{ of } xy/100$ | C: $xy\% \text{ of } 100$ | D: $100\% \text{ of } xy$,['A'],,
158,"Choose the most appropriate set of words from the options given below to complete the following sentence. ________    _________  is a will,  ________ is a way.","A: Wear, there, their | B: Were, their, there | C: Where, there, there | D: Where, their, their",['C'],,
159,He $\underline{\text{turned a deaf ear to}}$ my request What does the underlined phrasal verb mean?,A: ignored | B: appreciated | C: twisted | D: returned,['A'],,
160,"If I were you, I _______ that laptop. It's much too expensive.",A: won't buy | B: shan't buy | C: wouldn't buy | D: would buy,['C'],,
161,"In a process, the number of cycles to failure decreases exponentially with an increase in load. At a load of 80 units, it takes 100 cycles for failure. When the load is halved, it takes 10000 cycles for failure. The load for which the failure will happen in 5000 cycles is _______.",A: 40 | B: 46.02 | C: 60.01 | D: 92.02,['B'],,
162,"If $f(x)=2x^7+3x-5$ , which of the following is a factor of $f(x)$ ?",A: $(x^3+8)$ | B: $(x-1)$ | C: $(2x-5)$ | D: $(x+1)$,['B'],,
163,"Consider the following statements relating to the level of poker play of four players P, Q, R and S. I.  P always beats Q II.  R always beats S III. S loses to P only sometimes IV. R always loses to Q Which of the following can be logically inferred from the above statements? i.  P is likely to beat all the three other players ii.  S is the absolute worst player in the set",A: (i) only | B: (ii) only | C: (i) and (ii) | D: neither (i) nor (ii),['D'],,
164,"Indian currency notes show the denomination indicated in at least seventeen languages. If this is not an indication of the nation's diversity, nothing else is. Which of the following can be logically inferred from the above sentences?",A: India is a country of exactly seventeen languages. | B: Linguistic pluralism is the only indicator of a nation?s diversity. | C: Indian currency notes have sufficient space for all the Indian languages. | D: Linguistic pluralism is strong evidence of India?s diversity.,['D'],,
165,"A shaving set company sells 4 different types of razors, Elegance, Smooth, Soft and Executive. Elegance sells at Rs. 48, Smooth at Rs. 63, Soft at Rs. 78 Executive at Rs. 173 per piece. The table below shows the numbers of each razor sold in each quarter of a year. [latex]  \begin{array}{|c|c|c|c|c|} \hline \text{Quarter\Product} & \text{Elegance} & \text{Smooth} & \text{Soft} & \text{Executive} \\ \hline Q1 & 27300 & 20009 & 17602 & 9999 \\ \hline Q2 & 25222 & 19392 & 18445 & 8942 \\ \hline Q3 & 28976 & 22429 & 19544 & 10234 \\ \hline Q4 & 21012 & 18229 & 16595 & 10109 \\ \hline \end{array} [/latex] Which product contributes the greatest fraction to the revenue of the company in that year?",A: Elegance | B: Executive | C: Smooth | D: Soft,['B'],,
166,"The figures, I, II and III are parts of a sequence. Which one of the following options comes next in the sequence is IV?",A: A | B: B | C: C | D: D,['B'],"https://practicepaper.in/wp-content/uploads/GATE/CE/20251/q60a.webp, https://practicepaper.in/wp-content/uploads/GATE/CE/20251/q60b.webp",
167,"A thin wire is used to construct all the edges of a cube of 1 m side by bending, cutting and soldering the wire. If the wire is 12 m long, what is the minimum number of cuts required to construct the wire frame to form the cube?",A: 3 | B: 4 | C: 6 | D: 12,['A'],,
168,The sum of the following infinite series is: $\frac{1}{1!}+\frac{1}{2!}+\frac{1}{3!}+\frac{1}{4!}+\frac{1}{5!}+\ldots$,A: $\pi$ | B: $1+e$ | C: $e-1$ | D: $e$,['C'],,
169,"As the police officer was found guilty of embezzlement, he was _________
dismissed from the service in accordance with the Service Rules. Select the most appropriate option to complete the above sentence.",A: sumptuously | B: brazenly | C: unintentionally | D: summarily,['D'],,
170,Is there any good show __________ television tonight? Select the most appropriate option to complete the above sentence.,A: in | B: at | C: within | D: on,['D'],,
171,"A cube is built using 64 cubic blocks of side one unit. After it is built, one cubic block is removed from every corner of the cube. The resulting surface area of the body (in square units) after the removal is ___",A: 54 | B: 64 | C: 72 | D: 96,['D'],,
172,"If 'relftaga' means carefree, 'otaga' means careful and 'fertaga' means careless, which of the following could mean 'aftercare'?",A: zentaga | B: tagafer | C: tagazen | D: relffer,['C'],,
173,"Archimedes said, ""Give me a lever long enough and a fulcrum on which to place it, and I will move the world"". The sentence above is an example of a _______ statement.",A: figurative | B: collateral | C: literal | D: figurine,['A'],,
174,A rewording of something written or spoken is a ______,A: paraphrase | B: paradox | C: paradigm | D: paraffin,['A'],,
175,"Out of the following four sentences, select the most suitable sentence with respect to grammar and usage.",A: I will not leave the place until the minister does not meet me. | B: I will not leave the place until the minister doesn?t meet me. | C: I will not leave the place until the minister meet me. | D: I will not leave the place until the minister meets me.,['D'],,
176,"There are 16 teachers who can teach Thermodynamics (TD), 11 who can teach Electrical Sciences (ES), and 5 who can teach both TD and Engineering  Mechanics (EM). There are a total of 40 teachers, 6 cannot teach any of the three subjects, i.e. EM, ES or TD. 6 can teach only ES. 4 can teach all three subjects, i.e. EM, ES, and TD. 4 can teach ES and TD. How many can teach both ES and EM but not TD?",A: 1 | B: 2 | C: 3 | D: 4,['A'],,
177,"Read the following table giving sales data of five types of batteries for years 2006 to 2012: $\begin{array}{|l|l|l|l|l|l|} \hline \text{Year} & \text{Type I} & \text{Type II} & \text{Type III} & \text{Type IV} & \text{Type V} \\ \hline 2006 & 75 & 144 & 144 & 102 & 108 \\ \hline 2007 & 90 & 126 & 102 & 84 & 126 \\ \hline 2008 & 96 & 114 & 75 & 105 & 135 \\ \hline 2009 & 105 & 60 & 165 & 45 & 120 \\ \hline 2010 & 90 & 75 & 135 & 75 & 90 \\ \hline 2011 & 105 & 60 & 165 & 45 & 120 \\ \hline 2012 & 115 & 85 & 160 & 100 & 145 \\ \hline \end{array}$ Out of the following, which type of battery achieved highest growth between the years 2006 and 2012?",A: Type V | B: Type III | C: Type II | D: Type I,['D'],,
178,"How many four digit numbers can be formed with the 10 digits 0,1,2, . . . ,9 if no number can start with 0 and if repetitions are not allowed?",A: 14523 | B: 4536 | C: 4578 | D: 9853,['B'],,
179,"The given question is followed by two statements; select the most appropriate option that solves the question. Capacity of a solution tank A is 70% of the capacity of tank B. How many gallons of solution are in tank A and tank B? Statements: I. Tank A is 80% full and tank B is 40% full. II. Tank A if full contains 14,000 gallons of solution.",A: Statement I alone is sufficient. | B: Statement II alone is sufficient. | C: Either statement I or II alone is sufficient. | D: Both the statements I and II together are sufficient.,['D'],,
180,The word similar in meaning to 'dreary' is,A: cheerful | B: dreamy | C: hard | D: dismal,['D'],,
181,"Four cards are randomly selected from a pack of 52 cards. If the first two cards are kings, what is the probability that the third card is a king?",A: $\frac{4}{52}$ | B: $\frac{2}{50}$ | C: $\left ( \frac{1}{52}\right )\times\left ( \frac{1}{52}\right ) \\$ | D: $\left ( \frac{1}{52}\right )\times\left ( \frac{1}{51}\right ) \times\left ( \frac{1}{50}\right ) \\$,['B'],,
182,"Mr. Vivek walks 6 meters North-east, then turns and walks 6 meters South-east, both at 60 degrees to east. He further moves 2 meters South and 4 meters West. What is the straight distance in meters between the point he started from and the point he finally reached?",A: $2\sqrt{2}$ | B: $2$ | C: $\sqrt{2}$ | D: $\frac{1}{\sqrt{2}}$,['A'],,
183,which word is not a synonym for the word vernacular?,A: regional | B: indigenous | C: indigent | D: colloquial,['C'],,
184,Choose the statement where underlined word is used correctly.,A: The minister $\underline{\text{insured}}$ the victims that everything would be all right. | B: He $\underline{\text{ensured}}$ that the company will not have to bear any loss. | C: The actor got himself $\underline{\text{ensured}}$ against any accident. | D: The teacher $\underline{\text{insured}}$ students of good results.,['B'],,
185,Choose the most appropriate word from the options given below to complete the following sentence. The official answered __________ that the complaints of the citizen would be looked into.,A: respectably | B: respectfully | C: reputably | D: respectively,['B'],,
186,"The head of a newly formed government desires to appoint five of the six selected members P, Q, R, S, T,and U to portfolios of Home, Power, Defense, Telecom, and Finance. U does not want any portfolio if S gets one of the five. R wants either Home or Finance or no portfolio. Q says that if S gets either Power or Telecom, then she must get the other one. T insists on a portfolio if P gets one. Which is the valid distribution of portfolios?","A: P- Home, Q - Power, R - Defense, S - Telecom, T - Finance | B: R- Home, S - Power, P - Defense, Q - Telecom, T - Finance | C: P- Home, Q - Power, T - Defense, S - Telecom, U - Finance | D: Q- Home, U - Power, T - Defense, R - Telecom, P - Finance",['B'],,
187,"Choose the most appropriate equation for the function drawn as a thick line, in the plot below.",A: $x=y - \mid y \mid$ | B: $x=-(y - \mid y \mid)$ | C: $x=y + \mid y \mid$ | D: $x=-(y + \mid y \mid)$,['B'],https://practicepaper.in/wp-content/uploads/GATE/CE/20151/q64.jpg,
188,The exports and imports (in crores of Rs.) of a country from the year 2000 to 2007 are given in the following bar chart. In which year is the combined percentage increase in imports and exports the highest?,A: 2007 | B: 2006 | C: 2005 | D: 2004,['B'],https://practicepaper.in/wp-content/uploads/GATE/CE/20151/q63.jpg,
189,"Most experts feel that in spite of possessing all the technical skills required to be a batsman of the highest order he is unlikely to be so due to lack of requisite temperament. He was guilty of throwing away his wicket several times after working hard to lay a strong foundation. His critics pointed out that until he addressed this problem, success at the highest level will continue to elude him. Which of the statement(s) below is/are logically valid and can be inferred from the above passage? i. He was already a successful batsman at the highest level. ii. He has to improve his temperament in order to become a great batsman. iii. He failed to make many of his good starts count. iv. Improving his technical skills will guarantee success.","A: (iii) and (iv) | B: (ii) and (iii) | C: (i),(ii) and (iii) | D: (ii) only",['B'],,
190,"Alexander turned his attention towards India, since he had conquered  Persia. Which one of the statement below is logically valid and can be inferred from the above sentence?","A: Alexander would not have turned his attention towards India had he not conquered Persia. | B: Alexander was not ready to rest on his laurels, and wanted to march to India. | C: Alexander was completely in control of his army and could command it to move towards India. | D: Since Alexander?s kingdom extended to Indian borders after the conquest of Persia, he was keen to move further.",['A'],,
191,A function f(x) is linear and has a value of 29 at x= -2 and 39 at x=3. Find its value at x=5.,A: 59 | B: 45 | C: 43 | D: 35,['C'],,
192,"If ROAD is written as URDG, then SWAN should be written as:",A: VXDQ | B: VZDQ | C: VZDP | D: UXDQ,['B'],,
193,"The Tamil version of ___________ John Abraham-starrer Madras Cafe __________ cleared by the Censor Board with no cuts last week, but the film's distributors _________ no takers among the exhibitors for a  release in Tamil  Nadu _______ this Friday.","A: Mr. , was, found, on | B: a, was, found, at | C: the, was, found, on | D: a, being, find, at",['C'],,
194,Select the pair that best expresses a relationship similar to that expressed in the pair: Children : Pediatrician,A: Adult : Orthopaedist | B: Females : Gynaecologist | C: Kidney : Nephrologist | D: Skin : Dermatologist,['B'],,
195,Extreme focus on syllabus and studying for tests has become such a dominant concern of Indian students that they close their minds to anything_________ to the requirements of the exam.,A: related | B: extraneous | C: outside | D: useful,['B'],,
